rank,prev_rank,name,league,off,def,spi
128,92,KAA Gent,Belgian Jupiler League,1.52,1.1,55.61
129,108,Dynamo Kiev,UEFA Champions League,1.59,1.17,55.39
130,137,Ferencvaros,UEFA Europa League,1.64,1.23,55.23
131,138,Bodo/Glimt,Norwegian Tippeligaen,1.78,1.37,55.09
132,111,Guimaraes,Portuguese Liga,1.5,1.1,55.08
133,123,Yokohama F. Marinos,Japanese J League,1.84,1.43,55.03
134,139,Troyes,French Ligue 1,1.45,1.07,54.68
135,132,Vitesse,Dutch Eredivisie,1.58,1.21,54.4
136,146,Brest,French Ligue 1,1.56,1.19,54.35
137,162,West Bromwich Albion,English League Championship,1.43,1.07,54.27
138,134,Cruz Azul,Mexican Primera Division Torneo Apertura,1.49,1.14,54.08
139,157,Corinthians,Brasileiro Série A,1.25,0.91,53.96
140,155,Los Angeles FC,Major League Soccer,1.72,1.37,53.81
141,147,Santos,Brasileiro Série A,1.33,0.99,53.8
142,151,Lorient,French Ligue 1,1.45,1.12,53.6
143,166,Atlético Paranaense,Brasileiro Série A,1.39,1.06,53.6
144,76,Burnley,English League Championship,1.52,1.2,53.2
145,74,Levante,Spanish Segunda Division,1.55,1.24,52.99
146,172,Montpellier,French Ligue 1,1.51,1.2,52.99
147,126,Sampdoria,Italy Serie A,1.51,1.2,52.95
148,149,Clermont Foot,French Ligue 1,1.46,1.15,52.92
149,204,Monza,Italy Serie A,1.47,1.16,52.84
150,187,FC Sheriff Tiraspol,UEFA Europa League,1.6,1.29,52.76
151,135,Toulouse,French Ligue 1,1.47,1.17,52.71
152,136,CSKA Moscow,Russian Premier Liga,1.42,1.12,52.57
153,122,Boca Juniors,Argentina Primera Division,1.41,1.13,52.39
154,106,Sochi,Russian Premier Liga,1.47,1.21,51.96
155,185,St Etienne,French Ligue 2,1.53,1.27,51.96
156,176,Ceará,Brasileiro Série A,1.28,1.02,51.95
157,140,Famalicao,Portuguese Liga,1.47,1.2,51.94
158,150,Molde,Norwegian Tippeligaen,1.71,1.44,51.88
159,145,Santos Laguna,Mexican Primera Division Torneo Apertura,1.56,1.29,51.86
160,289,Auxerre,French Ligue 1,1.44,1.19,51.71
161,164,FK Partizan Belgrade,UEFA Europa Conference League,1.45,1.2,51.71
162,163,Philadelphia Union,Major League Soccer,1.51,1.26,51.68
163,390,AC Ajaccio,French Ligue 1,1.44,1.19,51.39
164,148,Spartak Moscow,Russian Premier Liga,1.47,1.23,51.39
165,188,Besiktas,Turkish Turkcell Super Lig,1.54,1.3,51.2
166,208,Galatasaray,Turkish Turkcell Super Lig,1.52,1.28,51.18
167,141,Gil Vicente,Portuguese Liga,1.42,1.19,51.16
168,158,Atlas,Mexican Primera Division Torneo Apertura,1.43,1.2,51.13
169,165,Maccabi Tel-Aviv,UEFA Europa Conference League,1.32,1.09,51.09
170,118,Union Saint Gilloise,Belgian Jupiler League,1.41,1.19,50.79
171,142,FC Krasnodar,Russian Premier Liga,1.42,1.21,50.7
172,168,Guadalajara,Mexican Primera Division Torneo Apertura,1.3,1.09,50.59
173,282,Lecce,Italy Serie A,1.4,1.2,50.41
174,183,Dinamo Moscow,Russian Premier Liga,1.52,1.32,50.4
175,190,Fortaleza,Brasileiro Série A,1.21,1.02,50.03
176,167,Empoli,Italy Serie A,1.55,1.38,49.65
177,365,Cremonese,Italy Serie A,1.37,1.22,49.25
178,169,PAOK Salonika,Greek Super League,1.23,1.08,49.16
179,178,Kawasaki Frontale,Japanese J League,1.5,1.36,49.1
180,156,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.58,1.44,49.09
181,170,Panathinaikos,Greek Super League,1.12,0.97,48.85
182,182,Hamburg SV,German 2. Bundesliga,1.6,1.49,48.66
183,194,Heerenveen,Dutch Eredivisie,1.47,1.35,48.64
184,160,FC Zurich,Swiss Raiffeisen Super League,1.62,1.51,48.5
185,171,Legia Warsaw,UEFA Europa League,1.4,1.29,48.33
186,152,Basel,Swiss Raiffeisen Super League,1.5,1.4,48.21
187,180,Spezia,Italy Serie A,1.45,1.35,48.17
188,173,Santa Clara,Portuguese Liga,1.31,1.2,48.16
189,154,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.33,1.24,47.92
190,174,Rapid Vienna,Austrian T-Mobile Bundesliga,1.41,1.34,47.46
191,313,Parma,Italy Serie B,1.36,1.29,47.38
192,192,León,Mexican Primera Division Torneo Apertura,1.4,1.34,47.27
193,200,Velez Sarsfield,Argentina Primera Division,1.24,1.17,47.21
194,199,Middlesbrough,English League Championship,1.3,1.23,47.19
